TIME [ps]	E_TOT [kJ/mol]	E_POT [kJ/mol]	TEMP. [K]	PRES. [kJ/mol/nm^3]
0.010000	2419.158420	-153.935759	1651.404206	69.339601	
0.020000	2419.162359	-142.606281	1644.135509	69.112015	
0.030000	2419.178564	-121.875685	1630.841074	68.532581	
0.040000	2419.185758	-114.274524	1625.967289	68.523103	
0.050000	2419.178915	-129.714121	1635.871984	68.901079	
0.060000	2419.169276	-157.094053	1653.438157	69.343229	
0.070000	2419.167455	-180.521223	1668.472477	69.637687	
0.080000	2419.174300	-195.326284	1677.978714	69.694358	
0.090000	2419.177894	-208.977215	1686.742148	69.858596	
0.100000	2419.173729	-224.980708	1697.010469	70.341873	
0.110000	2419.174278	-237.341218	1704.943760	70.642228	
0.120000	2419.177680	-244.666782	1709.647468	70.821442	
0.130000	2419.178038	-249.810338	1712.948817	70.983856	
0.140000	2419.177250	-252.719243	1714.815239	71.077425	
0.150000	2419.178290	-252.063746	1714.395210	71.065317	
0.160000	2419.180255	-248.920993	1712.379461	70.962479	
0.170000	2419.180938	-245.737169	1710.336531	70.814003	
0.180000	2419.180644	-243.480921	1708.888289	70.659222	
0.190000	2419.181225	-241.860731	1707.848828	70.515206	
0.200000	2419.181857	-241.354141	1707.524106	70.405385	
0.210000	2419.180990	-242.207005	1708.070915	70.358409	
0.220000	2419.180075	-242.728198	1708.404828	70.344838	
0.230000	2419.180310	-241.056390	1707.332018	70.319287	
0.240000	2419.181253	-236.920247	1704.678059	70.277294	
0.250000	2419.182329	-231.271433	1701.053357	70.228973	
0.260000	2419.183225	-225.447701	1697.316278	70.183099	
0.270000	2419.183675	-220.610358	1694.211974	70.144847	
0.280000	2419.183561	-217.307396	1692.092070	70.114347	
0.290000	2419.183109	-215.294194	1690.799713	70.087119	
0.300000	2419.180098	-213.575798	1689.694919	70.055774	
0.310000	2419.180015	-208.907700	1686.698895	69.999538	
0.320000	2419.180312	-200.420197	1681.251831	69.910912	
0.330000	2419.180866	-188.494552	1673.598343	69.789778	
0.340000	2419.181563	-173.943958	1664.260262	69.638084	
0.350000	2419.182323	-157.841954	1653.926531	69.459850	
0.360000	2419.183101	-141.394158	1643.370884	69.262338	
0.370000	2419.183875	-125.857985	1633.400311	69.059471	
0.380000	2419.184602	-112.487599	1624.819704	68.876361	
0.390000	2419.185164	-102.444703	1618.374564	68.740024	
0.400000	2419.185380	-96.607236	1614.628233	68.661044	
0.410000	2419.185139	-95.305587	1613.792684	68.638052	
0.420000	2419.184524	-98.170571	1615.631028	68.661217	
0.430000	2419.183743	-104.249421	1619.531914	68.712584	
0.440000	2419.182963	-112.300760	1624.698739	68.771293	
0.450000	2419.182252	-121.051542	1630.314508	68.820460	
0.460000	2419.181156	-129.254861	1635.578671	68.849117	
0.470000	2419.180675	-135.300670	1639.458544	68.843621	
0.480000	2419.180373	-138.254689	1641.354231	68.801019	
0.490000	2419.180283	-137.614133	1640.943067	68.723933	
0.500000	2419.184700	-133.258881	1638.150714	68.617452	
0.510000	2419.184852	-127.504589	1634.457724	68.500496	
0.520000	2419.184974	-121.849935	1630.828662	68.386994	
0.530000	2419.185074	-116.517397	1627.406319	68.280193	
0.540000	2419.185191	-111.704879	1624.317734	68.183541	
0.550000	2419.185362	-107.635048	1621.705839	68.105306	
0.560000	2419.185571	-104.597735	1619.756634	68.058254	
0.570000	2419.185716	-102.910902	1618.674123	68.046039	
0.580000	2419.185677	-102.773616	1618.585988	68.061384	
0.590000	2419.185422	-104.098857	1619.436360	68.101814	
0.600000	2419.182608	-105.821546	1620.540171	68.167044	
0.610000	2419.182407	-105.681430	1620.450116	68.227012	
0.620000	2419.182440	-103.240062	1618.883274	68.256102	
0.630000	2419.181144	-98.253866	1615.682317	68.242352	
0.640000	2419.181082	-88.466324	1609.400661	68.162630	
0.650000	2419.182022	-73.696345	1599.921936	68.009171	
0.660000	2419.183238	-55.515755	1588.254468	67.793970	
0.670000	2419.184415	-36.271922	1575.904588	67.541726	
0.680000	2419.182656	-17.102410	1563.600524	67.269310	
0.690000	2419.183722	2.231371	1551.192844	66.986184	
0.700000	2419.184604	20.132675	1539.704407	66.715362	
0.710000	2419.185164	35.158163	1530.061453	66.466812	
0.720000	2419.185288	46.323243	1522.895817	66.252337	
0.730000	2419.184985	53.240512	1518.456140	66.132334	
0.740000	2419.184629	56.044962	1516.656024	66.103326	
0.750000	2419.182711	55.001868	1517.324247	66.061383	
0.760000	2419.184073	50.659434	1520.112083	65.964540	
0.770000	2419.183985	41.406599	1526.050468	66.120967	
0.780000	2419.181477	27.530042	1534.954792	66.403075	
0.790000	2419.172103	13.931254	1543.676437	66.688887	
0.800000	2419.173724	8.505055	1547.159996	66.853320	
0.810000	2419.169920	12.973588	1544.289663	66.865404	
0.820000	2419.171452	29.870316	1533.446377	66.701645	
0.830000	2419.175724	57.656757	1515.615863	66.377527	
0.840000	2419.177617	90.964287	1494.240405	65.949885	
0.850000	2419.176977	126.912647	1471.168443	65.458663	
0.860000	2419.176395	164.071531	1447.319608	64.922950	
0.870000	2419.174591	201.024285	1423.602282	64.358241	
0.880000	2419.177823	235.967120	1401.178149	63.811807	
0.890000	2419.179553	264.827144	1382.656981	63.368822	
0.900000	2419.178733	284.804671	1369.834937	63.069325	
0.910000	2419.176437	295.122978	1363.211205	63.002285	
0.920000	2419.176537	297.275236	1361.829957	63.093239	
0.930000	2419.176156	291.454992	1365.565127	63.210177	
0.940000	2419.175328	278.274394	1374.023864	63.338770	
0.950000	2419.174414	258.788469	1386.529287	63.481952	
0.960000	2419.172819	233.318251	1402.874973	63.695736	
0.970000	2419.170980	204.128030	1421.607991	64.038282	
0.980000	2419.169062	174.141539	1440.852000	64.457760	
0.990000	2419.171325	144.970970	1459.575037	64.834421	
1.000000	2419.171210	114.852415	1478.904963	65.166119	
1.010000	2419.173578	84.793397	1498.198271	65.539235	
1.020000	2419.170861	54.949545	1517.350223	65.963353	
1.030000	2419.165618	28.903185	1534.063334	66.318341	
1.040000	2419.165134	11.612826	1545.159925	66.538587	
1.050000	2419.165597	4.506256	1549.721197	66.609587	
1.060000	2419.169172	4.277958	1549.870013	66.566596	
1.070000	2419.168565	4.746419	1549.568967	66.496057	
1.080000	2419.163420	5.451909	1549.112883	66.411763	
1.090000	2419.164734	11.936590	1544.951877	66.214181	
1.100000	2419.171918	21.617759	1538.743143	65.908795	
1.110000	2419.172911	25.839911	1536.034015	65.885825	
1.120000	2419.168037	24.762791	1536.722179	65.939313	
1.130000	2419.168522	26.198394	1535.801125	65.958905	
1.140000	2419.170726	31.582018	1532.347346	65.926128	
1.150000	2419.172311	38.677542	1527.794476	65.825582	
1.160000	2419.172831	45.492818	1523.420787	65.690734	
1.170000	2419.172709	51.176826	1519.772729	65.593836	
1.180000	2419.172442	55.792081	1516.810501	65.594572	
1.190000	2419.173445	59.425680	1514.479111	65.636320	
1.200000	2419.173485	60.371861	1513.871881	65.683393	
1.210000	2419.172477	57.345521	1515.813530	65.739688	
1.220000	2419.169855	51.738073	1519.410690	65.809652	
1.230000	2419.170418	46.675840	1522.659978	65.864324	
1.240000	2419.167507	44.026313	1524.358568	65.862129	
1.250000	2419.168147	45.916339	1523.145966	65.761950	
1.260000	2419.169172	51.802865	1519.368669	65.572308	
1.270000	2419.171794	60.760000	1513.621688	65.325024	
1.280000	2419.173866	70.031980	1507.672290	65.083702	
1.290000	2419.172972	76.940356	1503.237940	64.919590	
1.300000	2419.172637	81.435514	1500.352746	64.860682	
1.310000	2419.171940	84.152602	1498.608480	64.838189	
1.320000	2419.173937	85.817260	1497.541389	64.788525	
1.330000	2419.171271	85.678437	1497.628774	64.736194	
1.340000	2419.170911	85.414946	1497.797651	64.748162	
1.350000	2419.170030	86.422291	1497.150575	64.786349	
1.360000	2419.168121	89.901280	1494.916545	64.762888	
1.370000	2419.163630	98.429599	1489.440212	64.643036	
1.380000	2419.164138	115.180580	1478.689809	64.405820	
1.390000	2419.174540	138.241906	1463.895794	64.144075	
1.400000	2419.185847	153.033050	1454.410138	64.032089	
1.410000	2419.178429	143.379479	1460.601011	64.159603	
1.420000	2419.166145	117.403915	1477.264167	64.408726	
1.430000	2419.163675	92.572677	1493.199196	64.673411	
1.440000	2419.165884	75.608143	1504.088402	64.925531	
1.450000	2419.168194	64.922650	1510.947802	65.111796	
1.460000	2419.168867	58.253708	1515.228341	65.260471	
1.470000	2419.170842	54.597148	1517.576378	65.396094	
1.480000	2419.173662	51.643273	1519.473976	65.542735	
1.490000	2419.175164	44.623145	1523.980437	65.738674	
1.500000	2419.167485	32.192397	1531.953526	65.950193	
1.510000	2419.163301	23.477670	1537.543927	66.045855	
1.520000	2419.165109	24.956458	1536.596005	65.956647	
1.530000	2419.170746	34.808123	1530.276854	65.764654	
1.540000	2419.172783	46.347990	1522.871909	65.640099	
1.550000	2419.172118	55.859986	1516.766711	65.516736	
1.560000	2419.172805	62.989163	1512.191667	65.362533	
1.570000	2419.174131	65.476201	1510.596345	65.321944	
1.580000	2419.168275	62.805471	1512.306653	65.398198	
1.590000	2419.170462	60.525845	1513.771114	65.552814	
1.600000	2419.179786	54.173573	1517.853968	65.950124	
1.610000	2419.172914	33.891113	1530.866780	66.403401	
1.620000	2419.167191	8.730562	1547.011073	66.832767	
1.630000	2419.169198	-10.550031	1559.386589	67.162754	
1.640000	2419.171003	-23.326054	1567.587362	67.399989	
1.650000	2419.171532	-31.401096	1572.770239	67.558652	
1.660000	2419.171327	-35.253155	1575.242347	67.640269	
1.670000	2419.171216	-34.544329	1574.787353	67.640908	
1.680000	2419.173703	-29.635200	1571.638285	67.565506	
1.690000	2419.176433	-23.301588	1567.575144	67.453609	
1.700000	2419.175807	-18.773025	1564.668324	67.353817	
1.710000	2419.173991	-16.146054	1562.981176	67.284194	
1.720000	2419.172707	-12.698756	1560.767886	67.222087	
1.730000	2419.173405	-6.676811	1556.903468	67.125845	
1.740000	2419.173990	1.683213	1551.538405	66.989911	
1.750000	2419.174481	11.446672	1545.272561	66.843687	
1.760000	2419.175351	21.424315	1538.869497	66.737332	
1.770000	2419.177333	29.727533	1533.541789	66.681895	
1.780000	2419.179149	32.695873	1531.637882	66.675029	
1.790000	2419.176621	27.802722	1534.776670	66.713855	
1.800000	2419.172602	18.650098	1540.648218	66.784088	
1.810000	2419.172620	10.541959	1545.852008	66.855706	
1.820000	2419.173640	4.647501	1549.635709	66.919815	
1.830000	2419.174188	-0.013722	1552.627620	66.999244	
1.840000	2419.172540	-3.840688	1555.082697	67.075144	
1.850000	2419.168273	-4.592655	1555.562570	67.099435	
1.860000	2419.166861	1.867456	1551.415583	67.025889	
1.870000	2419.176357	14.128177	1543.552783	66.870734	
1.880000	2419.180376	17.946983	1541.104464	66.776740	
1.890000	2419.167587	8.181133	1547.363950	66.858000	
1.900000	2419.166552	0.489935	1552.299473	67.003752	
1.910000	2419.169865	1.068010	1551.930593	67.022187	
1.920000	2419.172624	6.510221	1548.439568	66.953476	
1.930000	2419.173969	13.149053	1544.179649	66.837865	
1.940000	2419.173833	18.986349	1540.433203	66.703741	
1.950000	2419.170946	24.576991	1536.843293	66.583767	
1.960000	2419.171675	32.383414	1531.833621	66.442404	
1.970000	2419.174780	40.802345	1526.432369	66.282646	
1.980000	2419.174639	46.838855	1522.558065	66.165811	
1.990000	2419.173702	52.412125	1518.980555	66.114506	
2.000000	2419.173507	59.633145	1514.346000	66.065201	
