TIME [ps]	E_TOT [kJ/mol]	E_POT [kJ/mol]	TEMP. [K]	PRES. [kJ/mol/nm^3]
0.001000	-654.650571	-669.298436	9.400956	5.317218	
0.002000	-654.650571	-669.299864	9.401872	5.317917	
0.003000	-654.650571	-669.300497	9.402279	5.318474	
0.004000	-654.650571	-669.300337	9.402176	5.318888	
0.005000	-654.650571	-669.299383	9.401564	5.319159	
0.006000	-654.650571	-669.297635	9.400442	5.319287	
0.007000	-654.650571	-669.295094	9.398811	5.319271	
0.008000	-654.650571	-669.291759	9.396671	5.319113	
0.009000	-654.650571	-669.287631	9.394021	5.318812	
0.010000	-654.650571	-669.282710	9.390863	5.318368	
0.011000	-654.650571	-669.276998	9.387197	5.317780	
0.012000	-654.650571	-669.270496	9.383024	5.317049	
0.013000	-654.650571	-669.263203	9.378344	5.316175	
0.014000	-654.650571	-669.255122	9.373157	5.315158	
0.015000	-654.650571	-669.246253	9.367465	5.313997	
0.016000	-654.650571	-669.236598	9.361269	5.312694	
0.017000	-654.650571	-669.226159	9.354569	5.311247	
0.018000	-654.650571	-669.214937	9.347367	5.309657	
0.019000	-654.650571	-669.202935	9.339664	5.307924	
0.020000	-654.650571	-669.190153	9.331461	5.306049	
0.021000	-654.650570	-669.176595	9.322760	5.304031	
0.022000	-654.650570	-669.162263	9.313561	5.301870	
0.023000	-654.650570	-669.147159	9.303868	5.299567	
0.024000	-654.650570	-669.131285	9.293680	5.297121	
0.025000	-654.650570	-669.114645	9.283001	5.294534	
0.026000	-654.650570	-669.097241	9.271831	5.291804	
0.027000	-654.650570	-669.079077	9.260173	5.288933	
0.028000	-654.650569	-669.060155	9.248029	5.285920	
0.029000	-654.650569	-669.040479	9.235401	5.282767	
0.030000	-654.650569	-669.020052	9.222292	5.279472	
0.031000	-654.650569	-668.998878	9.208703	5.276036	
0.032000	-654.650569	-668.976961	9.194636	5.272461	
0.033000	-654.650568	-668.954305	9.180096	5.268745	
0.034000	-654.650568	-668.930914	9.165083	5.264889	
0.035000	-654.650568	-668.906791	9.149602	5.260894	
0.036000	-654.650568	-668.881942	9.133654	5.256760	
0.037000	-654.650567	-668.856371	9.117243	5.252487	
0.038000	-654.650567	-668.830083	9.100371	5.248077	
0.039000	-654.650567	-668.803082	9.083042	5.243528	
