INPUT FILE: input
OUTPUT FILE:output
ATOM NUMBER:125
ATOM MASS:  1.000000 u
EPS:        1.000000 KJ/mol
R:          0.380000 nm
f:          10000.000000
L:          2.300000 nm
A:          0.380000 nm
T:          0.000000 K
TAU:        0.002000 ps
S_0:        0
S_D:        500
S_OUT:      10
S_XYZ:      10
AVERAGE MOMENTUM 0.000000 0.000000 0.000000
CALCULATED TEMPERATURE 0.000000 
CALCULATED KIN ENERGY 0.000000 
CALCULATED POT ENERGY -1338.586407 
CALCULATED TOTAL ENERGY -1338.586407 
CALCULATED PRESSURE 0.000000 
KONIEC TERMALIZACJI
TIME [ps]	TEMP. [K]	E_KIN [kJ/mol]	E_POT [kJ/mol]	E_TOT [kJ/mol]	PRES. [kJ/mol/nm^3]
0.000000	-nan	-nan	-nan	-nan	-nan
0.020000	 1.110456	 1.730230	-1342.049055	-1340.318825	0.301566 
0.040000	 3.055038	 4.760131	-1348.112726	-1343.352595	0.505686 
0.060000	 4.099412	 6.387396	-1351.369192	-1344.981797	0.590895 
0.080000	 3.447670	 5.371900	-1349.336716	-1343.964816	0.542184 
0.100000	 1.999189	 3.114986	-1344.819022	-1341.704036	0.389822 
0.120000	 1.533247	 2.388990	-1343.366335	-1340.977345	0.335762 
0.140000	 2.462060	 3.836197	-1346.262927	-1342.426730	0.433854 
0.160000	 3.671535	 5.720711	-1350.035064	-1344.314353	0.496557 
0.180000	 3.719246	 5.795051	-1350.182857	-1344.387806	0.478627 
0.200000	 2.772718	 4.320242	-1347.230767	-1342.910525	0.418168 
0.220000	 1.853566	 2.888087	-1344.365685	-1341.477598	0.351475 
0.240000	 1.374058	 2.140954	-1342.871386	-1340.730431	0.306170 
0.260000	 1.373301	 2.139775	-1342.869294	-1340.729519	0.321203 
0.280000	 1.723958	 2.686142	-1343.962807	-1341.276665	0.354315 
0.300000	 2.128348	 3.316231	-1345.223354	-1341.907122	0.388766 
0.320000	 2.438354	 3.799261	-1346.189603	-1342.390342	0.417200 
0.340000	 2.662962	 4.149228	-1346.889280	-1342.740052	0.423655 
0.360000	 2.928670	 4.563235	-1347.717856	-1343.154621	0.444522 
0.380000	 3.026059	 4.714978	-1348.021863	-1343.306885	0.453774 
0.400000	 2.812968	 4.382956	-1347.357087	-1342.974131	0.406964 
0.420000	 2.567791	 4.000939	-1346.592386	-1342.591447	0.383782 
0.440000	 2.577021	 4.015321	-1346.621387	-1342.606066	0.406620 
0.460000	 2.666890	 4.155347	-1346.902061	-1342.746714	0.387744 
0.480000	 2.589013	 4.034006	-1346.657942	-1342.623936	0.385129 
0.500000	 2.746042	 4.278676	-1347.149020	-1342.870344	0.416963 
0.520000	 2.428604	 3.784069	-1346.161608	-1342.377539	0.390759 
0.540000	 1.193996	 1.860394	-1342.309843	-1340.449448	0.283969 
0.560000	 0.840961	 1.310323	-1341.209567	-1339.899244	0.239787 
0.580000	 1.678059	 2.614625	-1343.820121	-1341.205495	0.312227 
0.600000	 2.691333	 4.193434	-1346.978893	-1342.785459	0.422326 
0.620000	 3.289878	 5.126041	-1348.844293	-1343.718252	0.463024 
0.640000	 3.294350	 5.133009	-1348.859089	-1343.726080	0.431655 
0.660000	 2.538735	 3.955666	-1346.503499	-1342.547833	0.360215 
0.680000	 1.807635	 2.816521	-1344.221203	-1341.404683	0.330774 
0.700000	 2.541992	 3.960742	-1346.513542	-1342.552800	0.393782 
0.720000	 3.394063	 5.288375	-1349.170129	-1343.881754	0.482431 
0.740000	 3.429219	 5.343151	-1349.279294	-1343.936143	0.478265 
0.760000	 2.823059	 4.398679	-1347.389632	-1342.990953	0.460093 
0.780000	 1.872334	 2.917330	-1344.427040	-1341.509710	0.371669 
0.800000	 1.069666	 1.666673	-1341.921445	-1340.254771	0.258149 
0.820000	 1.690317	 2.633725	-1343.861577	-1341.227852	0.339119 
0.840000	 1.900517	 2.961243	-1344.513513	-1341.552270	0.377707 
0.860000	 2.237574	 3.486419	-1345.564857	-1342.078438	0.415848 
0.880000	 2.722401	 4.241841	-1347.076226	-1342.834385	0.437271 
0.900000	 2.866578	 4.466487	-1347.526477	-1343.059989	0.458599 
0.920000	 2.661058	 4.146261	-1346.884303	-1342.738042	0.418933 
0.940000	 2.702565	 4.210933	-1347.014966	-1342.804032	0.414683 
0.960000	 2.661690	 4.147246	-1346.885841	-1342.738596	0.389692 
0.980000	 3.012800	 4.694319	-1347.982905	-1343.288585	0.448380 
1.000000	 2.833907	 4.415582	-1347.423616	-1343.008034	0.436593 
